    Send    	    送信    
 Added 	 追加 
 Deleted 	 削除 
 Modified 	 変更 
 \.\.\. and ([,0-9]+) more\.	 ... その他$1件
$1000	¥30000
% of audit items fail	%の診断アイテムが失敗した場合
% of requests time out	%のリクエストがタイムアウトした場合
(.*)Because some character positions within the sample use character sets whose size is not a round power of two, ([,0-9.]+) bits of data were compressed into other bits derived from the same character position.(.*)	$1サンプル内の一部の文字位置は2の累乗のサイズではない文字セットを使用するので、データの$2ビットは同じ文字位置から派生した他のビットに圧縮されました。$3
(.*)Note that on some Windows installations the Control\+Alt combination is treated by the OS as equivalent to AltGr, and so may result in typed characters appearing when pressed in text fields\.	$1一部のWindowsインストールでは、Ctrl+Altの組み合わせはAltGrと同等として扱われるので、テキストフィールドに入力した文字が現れる可能性がある点に注意してください。
(.*)The chart shows the number of bits contributed by each character position.	$1グラフは、各文字位置が貢献したビット数を示しています。
(.*)The overall bit counts for effective entropy have been adjusted to reflect this compression.(.*)	$1意味のあるエントロピーの全体ビットのカウントは、この圧縮を反映するように調整されています。$2
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?(HTML|script|XML|CSS|flash) content(.*)	$1$2$3$4$5$6を非表示$7
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?flash and general binary content(.*)	$1$2$3$4$5flash, バイナリ全般を非表示$6
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?general binary content(.*)	$1$2$3$4$5バイナリ全般を非表示$6
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?general text and flash content(.*)	$1$2$3$4$5テキスト全般, flashを非表示$6
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?general text and image content(.*)	$1$2$3$4$5テキスト全般, 画像を非表示$6
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?general text content(.*)	$1$2$3$4$5テキスト全般を非表示$6
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?general text(, flash)? and general binary content(.*)	$1$2$3$4$5テキスト全般$6, バイナリ全般を非表示$7
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?general text, image and flash content(.*)	$1$2$3$4$5テキスト全般, 画像, flashを非表示$6
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?general text, image(, flash)? and general binary content(.*)	$1$2$3$4$5テキスト全般, 画像$6, バイナリ全般を非表示$7
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?image and flash content(.*)	$1$2$3$4$5画像, flashを非表示$6
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?image content(.*)	$1$2$3$4$5画像を非表示$6
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?image(, flash)? and general binary content(.*)	$1$2$3$4$5画像$6, バイナリ全般を非表示$7
(.*)[Hh]iding (HTML|script|XML|CSS)(, script)?(, XML)?(, CSS)? and (script|XML|CSS|flash) content(.*)	$1$2$3$4$5, $6を非表示$7
(.*)[Hh]iding (HTML|script|XML|CSS)(, script)?(, XML)?(, CSS)? and general binary content(.*)	$1$2$3$4$5, バイナリ全般を非表示$6
(.*)[Hh]iding (HTML|script|XML|CSS)(, script)?(, XML)?(, CSS)? and general text content(.*)	$1$2$3$4$5, テキスト全般を非表示$6
(.*)[Hh]iding (HTML|script|XML|CSS)(, script)?(, XML)?(, CSS)? and image content(.*)	$1$2$3$4$5, 画像を非表示$6
(.*)[Hh]iding ([2-5]xx) responses(.*)	$1$2レスポンス非表示$3
(.*)[Hh]iding ([2-5]xx, )?([2-5]xx, )?((, )?[2-5]xx) and ([2-5]xx) responses(.*)	$1$2$3$4$5, $6レスポンス非表示$7
(.*)[Hh]iding empty folders(.*)	$1空のフォルダ非表示$2
(.*)[Hh]iding incoming items(.*)	$1受信アイテムを非表示$2
(.*)[Hh]iding non-parameterized and not found items(.*)	$1パラメータなし, 存在しないアイテムを非表示$2
(.*)[Hh]iding non-parameterized items(.*)	$1パラメータなしアイテムを非表示$2
(.*)[Hh]iding not found items(.*)	$1存在しないアイテムを非表示$2
(.*)[Hh]iding out of scope and incoming items(.*)	$1スコープ外, 受信アイテムを非表示$2
(.*)[Hh]iding out of scope and non-parameterized items(.*)	$1スコープ外, パラメータなしアイテムを非表示$2
(.*)[Hh]iding out of scope and not found items(.*)	$1スコープ外, 存在しないアイテムを非表示$2
(.*)[Hh]iding out of scope and outgoing items(.*)	$1スコープ外, 送信アイテムを非表示$2
(.*)[Hh]iding out of scope and unrequested items(.*)	$1スコープ外, 未リクエストアイテムを非表示$2
(.*)[Hh]iding out of scope and unresponded items(.*)	$1スコープ外, レスポンスなしアイテムを非表示$2
(.*)[Hh]iding out of scope items(.*)	$1スコープ外アイテムを非表示$2
(.*)[Hh]iding out of scope, non-parameterized and not found items(.*)	$1スコープ外, パラメータなし, 存在しないアイテムを非表示$2
(.*)[Hh]iding out of scope, outgoing and incoming items(.*)	$1スコープ外, 送信, 受信アイテムを非表示$2
(.*)[Hh]iding out of scope, unrequested and non-parameterized items(.*)	$1スコープ外, 未リクエスト, パラメータなしアイテムを非表示$2
(.*)[Hh]iding out of scope, unrequested and not found items(.*)	$1スコープ外, 未リクエスト, 存在しないアイテムを非表示$2
(.*)[Hh]iding out of scope, unrequested, non-parameterized and not found items(.*)	$1スコープ外, 未リクエスト, パラメータなし, 存在しないアイテムを非表示$2
(.*)[Hh]iding out of scope, unresponded and non-parameterized items(.*)	$1スコープ外, レスポンスなし, パラメータなしアイテムを非表示$2
(.*)[Hh]iding outgoing and incoming items(.*)	$1送信, 受信アイテムを非表示$2
(.*)[Hh]iding outgoing items(.*)	$1送信アイテムを非表示$2
(.*)[Hh]iding specific extensions(.*)	$1指定した拡張子を非表示$2
(.*)[Hh]iding unrequested and non-parameterized items(.*)	$1未リクエスト, パラメータなしアイテムを非表示$2
(.*)[Hh]iding unrequested and not found items(.*)	$1未リクエスト, 存在しないアイテムを非表示$2
(.*)[Hh]iding unrequested items(.*)	$1未リクエストアイテムを非表示$2
(.*)[Hh]iding unrequested, non-parameterized and not found items(.*)	$1未リクエスト, パラメータなし, 存在しないアイテムを非表示$2
(.*)[Hh]iding unresponded and non-parameterized items(.*)	$1レスポンスなし, パラメータなしアイテムを非表示$2
(.*)[Hh]iding unresponded items(.*)	$1レスポンスなしアイテムを非表示$2
(.*)[Mm]atching expression (.*)	$1一致 $2
(.*)[Mm]atching regex (.*)	$1正規表現に一致 $2
(.*)[Nn]ot matching expression (.*)	$1一致しない $2
(.*)[Nn]ot matching regex (.*)	$1正規表現に一致しない $2
(.*)[Ss]howing only commented and highlighted items(.*)	$1コメント付き, 色づけしたアイテムのみ表示$2
(.*)[Ss]howing only commented items(.*)	$1コメント付きアイテムのみ表示$2
(.*)[Ss]howing only highlighted items(.*)	$1色づけしたアイテムのみ表示$2
(.*)[Ss]howing only listener (.*)	$1ポート$2のリスナーのみ表示
(.*)[Ss]howing specific extensions(.*)	$1指定した拡張子を表示$2
(.*)\[Pro version only\](.*)	$1[プロ版のみ]$2
(.*)\[Pro version with 64-bit Java only\](.*)	$1[64ビットJavaのプロ版のみ]$2
(.*)\[disk projects only\](.*)	$1[ディスクプロジェクトのみ]$2
(.*: )FIPS-compliant.	$1FIPS準拠。
(.*: )excellent.	$1非常に良い。
(.*: )extremely poor.	$1非常に悪い。
(.*: )good.	$1良い。
(.*: )poor.	$1悪い。
(.*: )reasonable.	$1適当。
(.*: )very good.	$1とても良い。
(.*: )very poor.	$1とても悪い。
(Leave blank to run once only)	(一度のみ実行する場合は空白のまま)
([,0-9]+) bytes \| ([0-9]+) millis	$1バイト | $2ミリ秒
([,0-9]+) bytes?	$1バイト
([,0-9]+) highlights?	$1件ハイライト
([,0-9]+) issues selected	$1問題点を選択
([,0-9]+) items selected	$1アイテムを選択
([,0-9]+) results selected	$1結果を選択
([,0-9]+) submissions?	$1件送信
([0-9]+) \(approx\)	約$1
([0-9]+) \(max\)	$1 (最大)
